outcome,model,n,term,estimate,se,test_statistic,df_test,p_method,OR,CI_low,CI_high,p,significance
insufficient_sleep,Model 4,3099,bmi_categoryUnderweight,-0.1649029309517756,0.6048956176259489,-0.27261386286608397,15,Design-based Wald t test (df = PSU - strata),0.8479760123174932,0.2335854256312264,3.0783740703116496,0.7888671757748253,NS
insufficient_sleep,Model 4,3099,bmi_categoryOverweight,-0.14429234687154646,0.17945449816067596,-0.8040609087566766,15,Design-based Wald t test (df = PSU - strata),0.8656346454836252,0.5904970994238505,1.268970398318092,0.43392051534833087,NS
insufficient_sleep,Model 4,3099,bmi_categoryObese,-0.27944841749160776,0.29652045339153427,-0.9424254357341614,15,Design-based Wald t test (df = PSU - strata),0.7562007335398373,0.40193423305116216,1.4227191972807118,0.36090691551298315,NS
insufficient_sleep,Model 4,3099,waist_circumference,0.00937649321540854,0.006973515043584969,1.3445863609391797,15,Design-based Wald t test (df = PSU - strata),1.0094205902453248,0.9945278249407815,1.0245363703845,0.19873991959105958,NS
insufficient_sleep,Model 4,3099,depression_score_no_sleep,0.04010976525128602,0.01559404844473901,2.572120087572122,15,Design-based Wald t test (df = PSU - strata),1.0409250253188458,1.006895503034422,1.076104625623696,0.02124469032026022,*
insufficient_sleep,Model 4,3099,diabetesYes,-0.36244362347452774,0.23344619074245287,-1.5525788719096727,15,Design-based Wald t test (df = PSU - strata),0.6959735491431733,0.4231526033202534,1.1446914831819048,0.14136454929961212,NS
insufficient_sleep,Model 4,3099,hypertensionYes,0.09521136486238642,0.16364076788463228,0.5818315698048484,15,Design-based Wald t test (df = PSU - strata),1.099891308934107,0.7760171368444153,1.5589357941090536,0.5693220118548563,NS
insufficient_sleep,Model 4,3099,heart_diseaseYes,0.03456825005904869,0.2516172844037631,0.13738424266425991,15,Design-based Wald t test (df = PSU - strata),1.0351726765615163,0.6054754290364743,1.7698199116102875,0.8925542294875529,NS
insufficient_sleep,Model 4,3099,arthritisYes,-0.10392902469594502,0.15508447158591193,-0.6701446226895231,15,Design-based Wald t test (df = PSU - strata),0.9012892644307234,0.6475989029649375,1.2543602752552154,0.5129512946679011,NS
daytime_sleepy,Model 4,3108,(Intercept),-2.0437267937576764,0.495593719144708,-4.123794783526969,15,Design-based Wald t test (df = PSU - strata),0.12954502255354886,0.045046508477253194,0.37254636231959526,9.01713887573203e-4,***
daytime_sleepy,Model 4,3108,alcohol_categoryDrinkers (non-binge),0.09370623678048332,0.281875581173226,0.33243829206651415,15,Design-based Wald t test (df = PSU - strata),1.0982370768658518,0.602241143901518,2.0027271288526967,0.7441586560197652,NS
daytime_sleepy,Model 4,3108,alcohol_categoryBinge drinker,0.06046605446244325,0.2743713730389292,0.22038033265906357,15,Design-based Wald t test (df = PSU - strata),1.0623315355432186,0.5919443310454156,1.9065108528305632,0.8285463544523763,NS
daytime_sleepy,Model 4,3108,age_group30-44,-0.3884446411739769,0.1963086274499604,-1.9787446238092237,15,Design-based Wald t test (df = PSU - strata),0.6781107602564347,0.44625418135827316,1.030431136299839,0.06650747146117528,NS
daytime_sleepy,Model 4,3108,age_group45-59,-0.8191141980472378,0.17853538553023468,-4.5879655487596445,15,Design-based Wald t test (df = PSU - strata),0.44082196256791956,0.3012986346452364,0.6449548067519084,3.553645464426094e-4,***
daytime_sleepy,Model 4,3108,age_group60+,-1.111775921787532,0.21178986518775145,-5.24942929068841,15,Design-based Wald t test (df = PSU - strata),0.3289742095261346,0.20946568795117088,0.51666710472683,9.804694049353214e-5,***
daytime_sleepy,Model 4,3108,genderMale,-0.17247636322308826,0.11321139370273206,-1.5234894437919635,15,Design-based Wald t test (df = PSU - strata),0.8415781807723941,0.6611459002852561,1.0712519491485788,0.14843886988109734,NS
