variable,alcohol_category,category,estimate,se,p_overall,n_unweighted
education,Drinkers (non-binge),Some college/AA,0.30971696998700327,0.016640979363769372,0.0017674105631764903,1975
education,Binge drinker,Some college/AA,0.3355689191714548,0.02372474346702192,0.0017674105631764903,1359
education,Non-drinker,High school/GED,0.29649498083582543,0.034345192977115996,0.0017674105631764903,506
education,Drinkers (non-binge),High school/GED,0.27201625331556056,0.0156724600203111,0.0017674105631764903,1975
education,Binge drinker,High school/GED,0.2550174824267208,0.028505125559836877,0.0017674105631764903,1359
education,Non-drinker,9-11th grade,0.08507797597082008,0.013351706844731831,0.0017674105631764903,506
education,Drinkers (non-binge),9-11th grade,0.05989080144681371,0.005927190390415704,0.0017674105631764903,1975
education,Binge drinker,9-11th grade,0.0594395719538218,0.006993105838148816,0.0017674105631764903,1359
education,Non-drinker,<9th grade,0.10029153159229555,0.015823667302829587,0.0017674105631764903,506
education,Drinkers (non-binge),<9th grade,0.02397808622774273,0.004592970718743622,0.0017674105631764903,1975
education,Binge drinker,<9th grade,0.022648145976205666,0.00490246072904486,0.0017674105631764903,1359
smoking_status,Non-drinker,Never,0.9172836273397702,0.015899881467902558,2.215016178658479e-12,585
smoking_status,Drinkers (non-binge),Never,0.6239748367098511,0.013587140713655462,2.215016178658479e-12,2053
smoking_status,Binge drinker,Never,0.5114602335253079,0.021508040358043153,2.215016178658479e-12,1437
smoking_status,Non-drinker,Former,0.03701034486725484,0.008355966279451135,2.215016178658479e-12,585
smoking_status,Drinkers (non-binge),Former,0.24450997679895978,0.008275100885360242,2.215016178658479e-12,2053
smoking_status,Binge drinker,Former,0.2481765566766607,0.02072214061860771,2.215016178658479e-12,1437
smoking_status,Non-drinker,Current,0.04570602779297503,0.014658805393633283,2.215016178658479e-12,585
smoking_status,Drinkers (non-binge),Current,0.1315151864911891,0.01094709471203847,2.215016178658479e-12,2053
smoking_status,Binge drinker,Current,0.24036320979803133,0.021295724617489603,2.215016178658479e-12,1437
bmi_category,Non-drinker,Normal,0.3083736456413403,0.03028806862194051,0.16552796147196835,572
bmi_category,Drinkers (non-binge),Normal,0.2567710703921153,0.0174373156277282,0.16552796147196835,2032
bmi_category,Binge drinker,Normal,0.2536795596912676,0.02265644945579072,0.16552796147196835,1420
bmi_category,Non-drinker,Underweight,0.024924554429644134,0.008119961728408589,0.16552796147196835,572
bmi_category,Drinkers (non-binge),Underweight,0.012012629682423871,0.0022516993444387707,0.16552796147196835,2032
bmi_category,Binge drinker,Underweight,0.01805707266651136,0.005128912329721812,0.16552796147196835,1420
bmi_category,Non-drinker,Overweight,0.3228357998162444,0.027893408426263366,0.16552796147196835,572
bmi_category,Drinkers (non-binge),Overweight,0.28315156486456367,0.01822276615912242,0.16552796147196835,2032
bmi_category,Binge drinker,Overweight,0.3100125100785747,0.022873746692892338,0.16552796147196835,1420
bmi_category,Non-drinker,Obese,0.3438660001127712,0.03774384131311292,0.16552796147196835,572
bmi_category,Drinkers (non-binge),Obese,0.44806473506089717,0.020395967750418565,0.16552796147196835,2032
