outcome,model,n,term,estimate,se,test_statistic,df_test,p_method,OR,CI_low,CI_high,p,significance
sleep_trouble,Model 3,3244,age_group60+,0.8120550681354836,0.20807929636124556,3.902623097714048,15,Design-based Wald t test (df = PSU - strata),2.2525323408052933,1.4456290368590101,3.509822933135109,0.0014136452983483164,**
sleep_trouble,Model 3,3244,genderMale,-0.5382432829409155,0.13363387236077992,-4.02774591076569,15,Design-based Wald t test (df = PSU - strata),0.5837728758933909,0.4390784679240467,0.7761500404246456,0.0010957304269084268,**
sleep_trouble,Model 3,3244,race_ethnicityNon-Hispanic Black,-0.3900838548801646,0.15630805335799935,-2.4956094487770124,15,Design-based Wald t test (df = PSU - strata),0.677000102355433,0.4851745362731456,0.9446685766114373,0.02471904892026097,*
sleep_trouble,Model 3,3244,race_ethnicityNon-Hispanic Asian,-0.42561462512500786,0.138973091837432,-3.062568584304676,15,Design-based Wald t test (df = PSU - strata),0.6533680852539994,0.4858629170428453,0.8786220142642261,0.00789832990081206,**
sleep_trouble,Model 3,3244,race_ethnicityMexican American,-0.5987279497027476,0.22201114955496273,-2.6968373025541315,15,Design-based Wald t test (df = PSU - strata),0.5495101963065226,0.3423459465603488,0.882036019058293,0.016563485364984483,*
sleep_trouble,Model 3,3244,race_ethnicityOther Hispanic,-0.32331180756856137,0.24925265291721227,-1.2971248401353923,15,Design-based Wald t test (df = PSU - strata),0.7237481490308277,0.4254613108781694,1.2311610241231599,0.21418543477717122,NS
sleep_trouble,Model 3,3244,race_ethnicityOther / Multi-racial,0.25435510819905144,0.3141358225625863,0.8096978756645159,15,Design-based Wald t test (df = PSU - strata),1.289629681038572,0.6602019221863382,2.519145519461598,0.4307717973532701,NS
sleep_trouble,Model 3,3244,educationSome college/AA,0.2185866242138683,0.19487172742059805,1.1216949072457576,15,Design-based Wald t test (df = PSU - strata),1.2443167999233737,0.8213773681301214,1.8850340399520988,0.2796281857116321,NS
sleep_trouble,Model 3,3244,educationHigh school/GED,-0.05616162861647036,0.2026863898028298,-0.277086333577225,15,Design-based Wald t test (df = PSU - strata),0.9453863220579205,0.6137439593920849,1.4562347771527877,0.7854958496258628,NS
sleep_trouble,Model 3,3244,education9-11th grade,0.23270709185494576,0.2392315690053054,0.9727273571063902,15,Design-based Wald t test (df = PSU - strata),1.2620117716576378,0.7579006828524351,2.101427994243603,0.3461148563319305,NS
sleep_trouble,Model 3,3244,education<9th grade,0.20250876289559705,0.23624562935612087,0.8571958069553606,15,Design-based Wald t test (df = PSU - strata),1.2244708149848158,0.7400504818192926,2.025981758789921,0.4048243883423325,NS
sleep_trouble,Model 3,3244,poverty_ratio,1.9934208796025966e-4,0.038153744618630844,0.005224705725553318,15,Design-based Wald t test (df = PSU - strata),1.0001993619579146,0.9220798633043764,1.0849372201622303,0.9959001602634429,NS
sleep_trouble,Model 3,3244,partneredYes,-0.16440797498397675,0.08175439716477992,-2.0109985601460014,15,Design-based Wald t test (df = PSU - strata),0.8483958269916586,0.7127223483459864,1.0098960428661206,0.06265460890218334,NS
sleep_trouble,Model 3,3244,DMDHHSIZ,-0.08825355975088398,0.048753898135385304,-1.8101846852494046,15,Design-based Wald t test (df = PSU - strata),0.9155287060593661,0.8251665503783712,1.0157862206537493,0.09034369769055253,NS
sleep_trouble,Model 3,3244,smoking_statusFormer,0.35742666689662483,0.16857447417347005,2.1202893774345584,15,Design-based Wald t test (df = PSU - strata),1.4296457222462953,0.9981204490988276,2.047735714644955,0.05106511419138053,NS
sleep_trouble,Model 3,3244,smoking_statusCurrent,0.42868246885340017,0.14051453560463273,3.050805149864272,15,Design-based Wald t test (df = PSU - strata),1.5352334725485728,1.1378981422813803,2.0713117700571155,0.008090170507109428,**
sleep_trouble,Model 3,3244,bmi_categoryUnderweight,-0.03448059254326297,0.45659203554643224,-0.0755172886491502,15,Design-based Wald t test (df = PSU - strata),0.9661070891860877,0.36506367841149184,2.556712603776344,0.9408011234342979,NS
sleep_trouble,Model 3,3244,bmi_categoryOverweight,-0.32306507819436914,0.18747497170504318,-1.72324377625538,15,Design-based Wald t test (df = PSU - strata),0.723926740989746,0.4854599332470305,1.0795328109052353,0.10538911117965805,NS
sleep_trouble,Model 3,3244,bmi_categoryObese,-0.08885497266004537,0.3022488864072333,-0.2939794872902431,15,Design-based Wald t test (df = PSU - strata),0.9149782608158631,0.4804254448377026,1.7425913359947858,0.7728023897034952,NS
sleep_trouble,Model 3,3244,waist_circumference,0.014731480353438292,0.008191114865155032,1.7984707327333362,15,Design-based Wald t test (df = PSU - strata),1.0148405234073603,0.9972762484571753,1.0327141446946337,0.09225344933726115,NS
sleep_trouble,Model 4,3109,(Intercept),-2.7196696792499866,0.6990660747666047,-3.8904329324778,15,Design-based Wald t test (df = PSU - strata),0.06589651781894422,0.014850915784759316,0.292396181056979,0.001449238500548527,**
sleep_trouble,Model 4,3109,alcohol_categoryDrinkers (non-binge),0.4288891487254292,0.20422396529121484,2.1000921616317223,15,Design-based Wald t test (df = PSU - strata),1.5355508071984265,0.9936165321670095,2.373064663432366,0.053046056986055905,NS
sleep_trouble,Model 4,3109,alcohol_categoryBinge drinker,0.5601816972411581,0.29743103612381766,1.8834002817646773,15,Design-based Wald t test (df = PSU - strata),1.750990621559579,0.9288783002654634,3.3007210480785054,0.07918313696903796,NS
sleep_trouble,Model 4,3109,age_group30-44,0.29223611825514373,0.20816022221910632,1.403899914881626,15,Design-based Wald t test (df = PSU - strata),1.3394192416389368,0.8594635247644874,2.08739970130115,0.18071329052508814,NS
sleep_trouble,Model 4,3109,age_group45-59,0.6232937651963483,0.16704024964345598,3.731398669043875,15,Design-based Wald t test (df = PSU - strata),1.8650610090654238,1.3063747061585176,2.6626759926826504,0.0020058869113105597,**
sleep_trouble,Model 4,3109,age_group60+,0.3116193461714697,0.21692715000336113,1.436516112283047,15,Design-based Wald t test (df = PSU - strata),1.3656347599787448,0.860062748415212,2.168397946659886,0.17138442238282728,NS
sleep_trouble,Model 4,3109,genderMale,-0.46114386191293366,0.14106291831478432,-3.269065091109793,15,Design-based Wald t test (df = PSU - strata),0.6305619570232467,0.46681961699104974,0.8517388026832002,0.005177028922678362,**
sleep_trouble,Model 4,3109,race_ethnicityNon-Hispanic Black,-0.46286076696992207,0.15963249678582433,-2.899539732131941,15,Design-based Wald t test (df = PSU - strata),0.6294802708524302,0.4479339996183384,0.884606686989756,0.01100494666300111,*
sleep_trouble,Model 4,3109,race_ethnicityNon-Hispanic Asian,-0.5016254981201583,0.14935695869093457,-3.358567973777342,15,Design-based Wald t test (df = PSU - strata),0.6055455461324977,0.44044384588980845,0.8325361152455365,0.004308936012138284,**
sleep_trouble,Model 4,3109,race_ethnicityMexican American,-0.399924412792903,0.24303576658649392,-1.6455372738340306,15,Design-based Wald t test (df = PSU - strata),0.6703707155707405,0.39933968355709076,1.1253499584410314,0.12064611393050985,NS
sleep_trouble,Model 4,3109,race_ethnicityOther Hispanic,-0.30668026187167713,0.2262526110862581,-1.3554772269777529,15,Design-based Wald t test (df = PSU - strata),0.7358858540611843,0.45433235606362044,1.1919203705833536,0.195325164537453,NS
sleep_trouble,Model 4,3109,race_ethnicityOther / Multi-racial,0.11089980443286195,0.30672452881877277,0.36156157728874283,15,Design-based Wald t test (df = PSU - strata),1.11728295444671,0.5810792938996183,2.148280300816943,0.72272208204651045,NS
sleep_trouble,Model 4,3109,educationSome college/AA,0.01357703356725101,0.17508488622587418,0.07754543444564084,15,Design-based Wald t test (df = PSU - strata),1.013669620029484,0.6979501705860476,1.472205526804207,0.9392145876220268,NS
sleep_trouble,Model 4,3109,educationHigh school/GED,-0.23317914168915238,0.22026592693679664,-1.0586255665228743,15,Design-based Wald t test (df = PSU - strata),0.792011678505121,0.4952637393381174,1.26656253843016,0.30652100703399554,NS
sleep_trouble,Model 4,3109,education9-11th grade,-0.14203006318288125,0.2617624286537793,-0.5425914785148087,15,Design-based Wald t test (df = PSU - strata),0.8675951734214805,0.49660344300253967,1.5157393601485751,0.5953815985443915,NS
sleep_trouble,Model 4,3109,education<9th grade,-0.3347955644855151,0.2552533979078542,-1.311620402429963,15,Design-based Wald t test (df = PSU - strata),0.7154843418116696,0.4152579841009349,1.2327706220652668,0.20936978584348576,NS
sleep_trouble,Model 4,3109,poverty_ratio,0.03557482033029877,0.04851775756674977,0.7332329875583313,15,Design-based Wald t test (df = PSU - strata),1.0362151751893967,0.9344115258214963,1.1491102791661332,0.47472058045201704,NS
sleep_trouble,Model 4,3109,partneredYes,-0.11392838755056424,0.11150456399142893,-1.0217374381134894,15,Design-based Wald t test (df = PSU - strata),0.8923218549481146,0.7035651911803805,1.1317192817373252,0.3231021094292189,NS
sleep_trouble,Model 4,3109,DMDHHSIZ,-0.058446841615470264,0.051581423609506925,-1.133098653072033,15,Design-based Wald t test (df = PSU - strata),0.9432283795638966,0.8450241741883294,1.0528453542400698,0.2749598001625068,NS
sleep_trouble,Model 4,3109,smoking_statusFormer,0.28358056290308303,0.18733668935024902,1.5137481284987067,15,Design-based Wald t test (df = PSU - strata),1.3278758535384627,0.8907262493737994,1.9795692376306506,0.15087355439840214,NS
sleep_trouble,Model 4,3109,smoking_statusCurrent,0.17717274973987993,0.1575867482464613,1.1242871098703469,15,Design-based Wald t test (df = PSU - strata),1.1938373103994664,0.8532391108921626,1.6703963818671728,0.2785618229433909,NS
sleep_trouble,Model 4,3109,bmi_categoryUnderweight,-0.20177970131048556,0.4882866017920606,-0.4132402989759168,15,Design-based Wald t test (df = PSU - strata),0.8172749527129537,0.2886507045008598,2.3140021414012213,0.6852776057630483,NS
sleep_trouble,Model 4,3109,bmi_categoryOverweight,-0.3614165899306239,0.19122565008449757,-1.8900005818828356,15,Design-based Wald t test (df = PSU - strata),0.696688704505224,0.46347426676499986,1.0472537221387357,0.07824027858034782,NS
sleep_trouble,Model 4,3109,bmi_categoryObese,-0.21769290047471565,0.2788231243227655,-0.7807562626072378,15,Design-based Wald t test (df = PSU - strata),0.8043724261304293,0.4439735359226822,1.4573278530539042,0.4470930526891935,NS
sleep_trouble,Model 4,3109,waist_circumference,0.007974709934275265,0.007911772487561804,1.0079549110913395,15,Design-based Wald t test (df = PSU - strata),1.0080065926289379,0.9911505549519848,1.0251492931188688,0.3294600629047325,NS
sleep_trouble,Model 4,3109,depression_score_no_sleep,0.1582040212575749,0.024374262028410722,6.49061789329957,15,Design-based Wald t test (df = PSU - strata),1.1714051618839059,1.1121015477007545,1.233871183908729,1.0195292736993435e-5,***
sleep_trouble,Model 4,3109,diabetesYes,0.2831716759754073,0.23939027244885944,1.1828871452406273,15,Design-based Wald t test (df = PSU - strata),1.327333013448046,0.7968597313743779,2.210944861714115,0.25526419819900475,NS
sleep_trouble,Model 4,3109,hypertensionYes,0.7369190801461563,0.14262304593077285,5.166900449621908,15,Design-based Wald t test (df = PSU - strata),2.0894880423278708,1.5417609754816426,2.8318010044762234,1.148048899061942e-4,***
sleep_trouble,Model 4,3109,heart_diseaseYes,-0.21629541929484755,0.23164257347444267,-0.9337464009771572,15,Design-based Wald t test (df = PSU - strata),0.8054973072745956,0.49162950869925226,1.3197456632399476,0.3652231350862858,NS
sleep_trouble,Model 4,3109,arthritisYes,0.7565087472133432,0.13109759442823227,5.7705768783384075,15,Design-based Wald t test (df = PSU - strata),2.1308239740909047,1.6113637000535703,2.8177442550118323,3.6950673169592264e-5,***
